quarter,level_1,value
2002-Q4,Total New Orders Received (Forecast For Next Quarter),-14
2002-Q4,Domestic Orders (Forecast For Next Quarter),-18
2002-Q4,Export Orders (Forecast For Next Quarter),-16
2002-Q4,Deliveries In Singapore (Forecast For Next Quarter),-22
2002-Q4,Deliveries Overseas (Forecast For Next Quarter),-12
2002-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-5
2002-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-3
2002-Q4,Average Selling Prices (Forecast For Next Quarter),-28
2002-Q4,Investment On Buildings (Forecast - Next 12 Months),-1
2002-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-9
2003-Q1,General Business Expectations (Forecast For Next 6 Months),-14
2003-Q1,Numbers Employed (Forecast For Next Quarter),-6
2003-Q1,Overtime (Forecast For Next Quarter),-24
2003-Q1,Output (Forecast For Next Quarter),-9
2003-Q1,Total New Orders Received (Forecast For Next Quarter),0
2003-Q1,Domestic Orders (Forecast For Next Quarter),-7
2003-Q1,Export Orders (Forecast For Next Quarter),2
2003-Q1,Deliveries In Singapore (Forecast For Next Quarter),-7
2003-Q1,Deliveries Overseas (Forecast For Next Quarter),3
2003-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-12
2003-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-13
2003-Q1,Average Selling Prices (Forecast For Next Quarter),-29
2003-Q1,Investment On Buildings (Forecast - Next 12 Months),-6
2003-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),-8
2003-Q2,General Business Expectations (Forecast For Next 6 Months),0
2003-Q2,Numbers Employed (Forecast For Next Quarter),4
2003-Q2,Overtime (Forecast For Next Quarter),-14
2003-Q2,Output (Forecast For Next Quarter),16
2003-Q2,Total New Orders Received (Forecast For Next Quarter),2
2003-Q2,Domestic Orders (Forecast For Next Quarter),-3
2003-Q2,Export Orders (Forecast For Next Quarter),2
2003-Q2,Deliveries In Singapore (Forecast For Next Quarter),-2
2003-Q2,Deliveries Overseas (Forecast For Next Quarter),3
2003-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-17
2003-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-7
2003-Q2,Average Selling Prices (Forecast For Next Quarter),-24
2003-Q2,Investment On Buildings (Forecast - Next 12 Months),-6
2003-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-3
2003-Q3,General Business Expectations (Forecast For Next 6 Months),22
2003-Q3,Numbers Employed (Forecast For Next Quarter),4
2003-Q3,Overtime (Forecast For Next Quarter),-4
2003-Q3,Output (Forecast For Next Quarter),25
2003-Q3,Total New Orders Received (Forecast For Next Quarter),15
2003-Q3,Domestic Orders (Forecast For Next Quarter),11
2003-Q3,Export Orders (Forecast For Next Quarter),13
2003-Q3,Deliveries In Singapore (Forecast For Next Quarter),16
2003-Q3,Deliveries Overseas (Forecast For Next Quarter),19
2003-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),10
2003-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),5
2003-Q3,Average Selling Prices (Forecast For Next Quarter),-20
2003-Q3,Investment On Buildings (Forecast - Next 12 Months),-4
2003-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-2
2003-Q4,General Business Expectations (Forecast For Next 6 Months),20
2003-Q4,Numbers Employed (Forecast For Next Quarter),6
2003-Q4,Overtime (Forecast For Next Quarter),-9
2003-Q4,Output (Forecast For Next Quarter),-6
2003-Q4,Total New Orders Received (Forecast For Next Quarter),3
2003-Q4,Domestic Orders (Forecast For Next Quarter),-6
2003-Q4,Export Orders (Forecast For Next Quarter),2
2003-Q4,Deliveries In Singapore (Forecast For Next Quarter),-8
2003-Q4,Deliveries Overseas (Forecast For Next Quarter),2
2003-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-9
2003-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-7
2003-Q4,Average Selling Prices (Forecast For Next Quarter),-14
2003-Q4,Investment On Buildings (Forecast - Next 12 Months),-1
2003-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),7
2004-Q1,General Business Expectations (Forecast For Next 6 Months),39
2004-Q1,Numbers Employed (Forecast For Next Quarter),10
2004-Q1,Overtime (Forecast For Next Quarter),12
2004-Q1,Output (Forecast For Next Quarter),35
2004-Q1,Total New Orders Received (Forecast For Next Quarter),27
2004-Q1,Domestic Orders (Forecast For Next Quarter),24
2004-Q1,Export Orders (Forecast For Next Quarter),24
2004-Q1,Deliveries In Singapore (Forecast For Next Quarter),25
2004-Q1,Deliveries Overseas (Forecast For Next Quarter),24
2004-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),21
2004-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),19
2004-Q1,Average Selling Prices (Forecast For Next Quarter),-17
2004-Q1,Investment On Buildings (Forecast - Next 12 Months),1
2004-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),13
2004-Q2,General Business Expectations (Forecast For Next 6 Months),24
2004-Q2,Numbers Employed (Forecast For Next Quarter),17
2004-Q2,Overtime (Forecast For Next Quarter),13
2004-Q2,Output (Forecast For Next Quarter),26
2004-Q2,Total New Orders Received (Forecast For Next Quarter),33
2004-Q2,Domestic Orders (Forecast For Next Quarter),11
2004-Q2,Export Orders (Forecast For Next Quarter),32
2004-Q2,Deliveries In Singapore (Forecast For Next Quarter),13
2004-Q2,Deliveries Overseas (Forecast For Next Quarter),27
2004-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),24
2004-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),9
2004-Q2,Average Selling Prices (Forecast For Next Quarter),-18
2004-Q2,Investment On Buildings (Forecast - Next 12 Months),3
2004-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),9
2004-Q3,General Business Expectations (Forecast For Next 6 Months),12
2004-Q3,Numbers Employed (Forecast For Next Quarter),0
2004-Q3,Overtime (Forecast For Next Quarter),3
2004-Q3,Output (Forecast For Next Quarter),10
2004-Q3,Total New Orders Received (Forecast For Next Quarter),9
2004-Q3,Domestic Orders (Forecast For Next Quarter),-5
2004-Q3,Export Orders (Forecast For Next Quarter),9
2004-Q3,Deliveries In Singapore (Forecast For Next Quarter),-8
2004-Q3,Deliveries Overseas (Forecast For Next Quarter),11
2004-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),4
2004-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),8
2004-Q3,Average Selling Prices (Forecast For Next Quarter),-15
2004-Q3,Investment On Buildings (Forecast - Next 12 Months),6
2004-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),15
2004-Q4,General Business Expectations (Forecast For Next 6 Months),5
2004-Q4,Numbers Employed (Forecast For Next Quarter),-11
2004-Q4,Overtime (Forecast For Next Quarter),-19
2004-Q4,Output (Forecast For Next Quarter),-23
2004-Q4,Total New Orders Received (Forecast For Next Quarter),-20
2004-Q4,Domestic Orders (Forecast For Next Quarter),-12
2004-Q4,Export Orders (Forecast For Next Quarter),-22
2004-Q4,Deliveries In Singapore (Forecast For Next Quarter),-13
2004-Q4,Deliveries Overseas (Forecast For Next Quarter),-23
2004-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-4
2004-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-7
2004-Q4,Average Selling Prices (Forecast For Next Quarter),-18
2004-Q4,Investment On Buildings (Forecast - Next 12 Months),7
2004-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),12
2005-Q1,General Business Expectations (Forecast For Next 6 Months),13
2005-Q1,Numbers Employed (Forecast For Next Quarter),2
2005-Q1,Overtime (Forecast For Next Quarter),3
2005-Q1,Output (Forecast For Next Quarter),25
2005-Q1,Total New Orders Received (Forecast For Next Quarter),13
2005-Q1,Domestic Orders (Forecast For Next Quarter),10
2005-Q1,Export Orders (Forecast For Next Quarter),11
2005-Q1,Deliveries In Singapore (Forecast For Next Quarter),13
2005-Q1,Deliveries Overseas (Forecast For Next Quarter),12
2005-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),9
2005-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),10
2005-Q1,Average Selling Prices (Forecast For Next Quarter),-15
2005-Q1,Investment On Buildings (Forecast - Next 12 Months),1
2005-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),14
2005-Q2,General Business Expectations (Forecast For Next 6 Months),24
2005-Q2,Numbers Employed (Forecast For Next Quarter),4
2005-Q2,Overtime (Forecast For Next Quarter),-16
2005-Q2,Output (Forecast For Next Quarter),30
2005-Q2,Total New Orders Received (Forecast For Next Quarter),12
2005-Q2,Domestic Orders (Forecast For Next Quarter),3
2005-Q2,Export Orders (Forecast For Next Quarter),11
2005-Q2,Deliveries In Singapore (Forecast For Next Quarter),4
2005-Q2,Deliveries Overseas (Forecast For Next Quarter),15
2005-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),5
2005-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),1
2005-Q2,Average Selling Prices (Forecast For Next Quarter),-13
2005-Q2,Investment On Buildings (Forecast - Next 12 Months),7
2005-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),14
2005-Q3,General Business Expectations (Forecast For Next 6 Months),16
2005-Q3,Numbers Employed (Forecast For Next Quarter),9
2005-Q3,Overtime (Forecast For Next Quarter),1
2005-Q3,Output (Forecast For Next Quarter),24
2005-Q3,Total New Orders Received (Forecast For Next Quarter),11
2005-Q3,Domestic Orders (Forecast For Next Quarter),2
2005-Q3,Export Orders (Forecast For Next Quarter),8
2005-Q3,Deliveries In Singapore (Forecast For Next Quarter),3
2005-Q3,Deliveries Overseas (Forecast For Next Quarter),9
2005-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-10
2005-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),7
2005-Q3,Average Selling Prices (Forecast For Next Quarter),-12
2005-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2005-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2005-Q4,General Business Expectations (Forecast For Next 6 Months),15
2005-Q4,Numbers Employed (Forecast For Next Quarter),7
2005-Q4,Overtime (Forecast For Next Quarter),-7
2005-Q4,Output (Forecast For Next Quarter),-6
2005-Q4,Total New Orders Received (Forecast For Next Quarter),-10
2005-Q4,Domestic Orders (Forecast For Next Quarter),-3
2005-Q4,Export Orders (Forecast For Next Quarter),-10
2005-Q4,Deliveries In Singapore (Forecast For Next Quarter),-9
2005-Q4,Deliveries Overseas (Forecast For Next Quarter),-10
2005-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-7
2005-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-15
2005-Q4,Average Selling Prices (Forecast For Next Quarter),-16
2005-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2005-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2006-Q1,General Business Expectations (Forecast For Next 6 Months),26
2006-Q1,Numbers Employed (Forecast For Next Quarter),14
2006-Q1,Overtime (Forecast For Next Quarter),-3
2006-Q1,Output (Forecast For Next Quarter),23
2006-Q1,Total New Orders Received (Forecast For Next Quarter),12
2006-Q1,Domestic Orders (Forecast For Next Quarter),6
2006-Q1,Export Orders (Forecast For Next Quarter),11
2006-Q1,Deliveries In Singapore (Forecast For Next Quarter),5
2006-Q1,Deliveries Overseas (Forecast For Next Quarter),12
2006-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),6
2006-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),6
2006-Q1,Average Selling Prices (Forecast For Next Quarter),-15
2006-Q1,Investment On Buildings (Forecast - Next 12 Months),14
2006-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),25
2006-Q2,General Business Expectations (Forecast For Next 6 Months),26
2006-Q2,Numbers Employed (Forecast For Next Quarter),28
2006-Q2,Overtime (Forecast For Next Quarter),23
2006-Q2,Output (Forecast For Next Quarter),16
2006-Q2,Total New Orders Received (Forecast For Next Quarter),15
2006-Q2,Domestic Orders (Forecast For Next Quarter),4
2006-Q2,Export Orders (Forecast For Next Quarter),13
2006-Q2,Deliveries In Singapore (Forecast For Next Quarter),3
2006-Q2,Deliveries Overseas (Forecast For Next Quarter),13
2006-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),4
2006-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),10
2006-Q2,Average Selling Prices (Forecast For Next Quarter),-2
2006-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2006-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2006-Q3,General Business Expectations (Forecast For Next 6 Months),22
2006-Q3,Numbers Employed (Forecast For Next Quarter),22
2006-Q3,Overtime (Forecast For Next Quarter),11
2006-Q3,Output (Forecast For Next Quarter),27
2006-Q3,Total New Orders Received (Forecast For Next Quarter),24
2006-Q3,Domestic Orders (Forecast For Next Quarter),5
2006-Q3,Export Orders (Forecast For Next Quarter),22
2006-Q3,Deliveries In Singapore (Forecast For Next Quarter),10
2006-Q3,Deliveries Overseas (Forecast For Next Quarter),31
2006-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-4
2006-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-11
2006-Q3,Average Selling Prices (Forecast For Next Quarter),-12
2006-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2006-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2006-Q4,General Business Expectations (Forecast For Next 6 Months),7
2006-Q4,Numbers Employed (Forecast For Next Quarter),23
2006-Q4,Overtime (Forecast For Next Quarter),-5
2006-Q4,Output (Forecast For Next Quarter),2
2006-Q4,Total New Orders Received (Forecast For Next Quarter),0
2006-Q4,Domestic Orders (Forecast For Next Quarter),3
2006-Q4,Export Orders (Forecast For Next Quarter),1
2006-Q4,Deliveries In Singapore (Forecast For Next Quarter),3
2006-Q4,Deliveries Overseas (Forecast For Next Quarter),-2
2006-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),13
2006-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-15
2006-Q4,Average Selling Prices (Forecast For Next Quarter),-8
2006-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2006-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2007-Q1,General Business Expectations (Forecast For Next 6 Months),26
2007-Q1,Numbers Employed (Forecast For Next Quarter),20
2007-Q1,Overtime (Forecast For Next Quarter),10
2007-Q1,Output (Forecast For Next Quarter),38
2007-Q1,Total New Orders Received (Forecast For Next Quarter),31
2007-Q1,Domestic Orders (Forecast For Next Quarter),11
2007-Q1,Export Orders (Forecast For Next Quarter),33
2007-Q1,Deliveries In Singapore (Forecast For Next Quarter),12
2007-Q1,Deliveries Overseas (Forecast For Next Quarter),33
2007-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),16
2007-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),4
2007-Q1,Average Selling Prices (Forecast For Next Quarter),-8
2007-Q1,Investment On Buildings (Forecast - Next 12 Months),15
2007-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),12
2007-Q2,General Business Expectations (Forecast For Next 6 Months),22
2007-Q2,Numbers Employed (Forecast For Next Quarter),9
2007-Q2,Overtime (Forecast For Next Quarter),3
2007-Q2,Output (Forecast For Next Quarter),30
2007-Q2,Total New Orders Received (Forecast For Next Quarter),28
2007-Q2,Domestic Orders (Forecast For Next Quarter),0
2007-Q2,Export Orders (Forecast For Next Quarter),27
2007-Q2,Deliveries In Singapore (Forecast For Next Quarter),0
2007-Q2,Deliveries Overseas (Forecast For Next Quarter),26
2007-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),15
2007-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),7
2007-Q2,Average Selling Prices (Forecast For Next Quarter),-9
2007-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2007-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2007-Q3,General Business Expectations (Forecast For Next 6 Months),25
2007-Q3,Numbers Employed (Forecast For Next Quarter),14
2007-Q3,Overtime (Forecast For Next Quarter),-1
2007-Q3,Output (Forecast For Next Quarter),20
2007-Q3,Total New Orders Received (Forecast For Next Quarter),20
2007-Q3,Domestic Orders (Forecast For Next Quarter),1
2007-Q3,Export Orders (Forecast For Next Quarter),20
2007-Q3,Deliveries In Singapore (Forecast For Next Quarter),2
2007-Q3,Deliveries Overseas (Forecast For Next Quarter),22
2007-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),17
2007-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-2
2007-Q3,Average Selling Prices (Forecast For Next Quarter),-7
2007-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2007-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2007-Q4,General Business Expectations (Forecast For Next 6 Months),2
2007-Q4,Numbers Employed (Forecast For Next Quarter),11
2007-Q4,Overtime (Forecast For Next Quarter),4
2007-Q4,Output (Forecast For Next Quarter),14
2007-Q4,Total New Orders Received (Forecast For Next Quarter),9
2007-Q4,Domestic Orders (Forecast For Next Quarter),-9
2007-Q4,Export Orders (Forecast For Next Quarter),6
2007-Q4,Deliveries In Singapore (Forecast For Next Quarter),-9
2007-Q4,Deliveries Overseas (Forecast For Next Quarter),4
2007-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),3
2007-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),0
2007-Q4,Average Selling Prices (Forecast For Next Quarter),-10
2007-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2007-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2008-Q1,General Business Expectations (Forecast For Next 6 Months),-7
2008-Q1,Numbers Employed (Forecast For Next Quarter),3
2008-Q1,Overtime (Forecast For Next Quarter),3
2008-Q1,Output (Forecast For Next Quarter),-1
2008-Q1,Total New Orders Received (Forecast For Next Quarter),4
2008-Q1,Domestic Orders (Forecast For Next Quarter),-1
2008-Q1,Export Orders (Forecast For Next Quarter),5
2008-Q1,Deliveries In Singapore (Forecast For Next Quarter),0
2008-Q1,Deliveries Overseas (Forecast For Next Quarter),5
2008-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-4
2008-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-11
2008-Q1,Average Selling Prices (Forecast For Next Quarter),-9
2008-Q1,Investment On Buildings (Forecast - Next 12 Months),11
2008-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),9
2008-Q2,General Business Expectations (Forecast For Next 6 Months),1
2008-Q2,Numbers Employed (Forecast For Next Quarter),4
2008-Q2,Overtime (Forecast For Next Quarter),-1
2008-Q2,Output (Forecast For Next Quarter),18
2008-Q2,Total New Orders Received (Forecast For Next Quarter),20
2008-Q2,Domestic Orders (Forecast For Next Quarter),6
2008-Q2,Export Orders (Forecast For Next Quarter),20
2008-Q2,Deliveries In Singapore (Forecast For Next Quarter),4
2008-Q2,Deliveries Overseas (Forecast For Next Quarter),18
2008-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),0
2008-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-7
2008-Q2,Average Selling Prices (Forecast For Next Quarter),-8
2008-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2008-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2008-Q3,General Business Expectations (Forecast For Next 6 Months),-18
2008-Q3,Numbers Employed (Forecast For Next Quarter),-3
2008-Q3,Overtime (Forecast For Next Quarter),-10
2008-Q3,Output (Forecast For Next Quarter),3
2008-Q3,Total New Orders Received (Forecast For Next Quarter),-6
2008-Q3,Domestic Orders (Forecast For Next Quarter),-4
2008-Q3,Export Orders (Forecast For Next Quarter),-9
2008-Q3,Deliveries In Singapore (Forecast For Next Quarter),-4
2008-Q3,Deliveries Overseas (Forecast For Next Quarter),-7
2008-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-12
2008-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-2
2008-Q3,Average Selling Prices (Forecast For Next Quarter),-17
2008-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2008-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2008-Q4,General Business Expectations (Forecast For Next 6 Months),-57
2008-Q4,Numbers Employed (Forecast For Next Quarter),-28
2008-Q4,Overtime (Forecast For Next Quarter),-47
2008-Q4,Output (Forecast For Next Quarter),-52
2008-Q4,Total New Orders Received (Forecast For Next Quarter),-39
2008-Q4,Domestic Orders (Forecast For Next Quarter),-39
2008-Q4,Export Orders (Forecast For Next Quarter),-38
2008-Q4,Deliveries In Singapore (Forecast For Next Quarter),-34
2008-Q4,Deliveries Overseas (Forecast For Next Quarter),-36
2008-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-32
2008-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-24
2008-Q4,Average Selling Prices (Forecast For Next Quarter),-36
2008-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2008-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2009-Q1,General Business Expectations (Forecast For Next 6 Months),-33
2009-Q1,Numbers Employed (Forecast For Next Quarter),-23
2009-Q1,Overtime (Forecast For Next Quarter),-37
2009-Q1,Output (Forecast For Next Quarter),-15
2009-Q1,Total New Orders Received (Forecast For Next Quarter),-34
2009-Q1,Domestic Orders (Forecast For Next Quarter),-30
2009-Q1,Export Orders (Forecast For Next Quarter),-33
2009-Q1,Deliveries In Singapore (Forecast For Next Quarter),-28
2009-Q1,Deliveries Overseas (Forecast For Next Quarter),-28
2009-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-31
2009-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-20
2009-Q1,Average Selling Prices (Forecast For Next Quarter),-34
2009-Q1,Investment On Buildings (Forecast - Next 12 Months),-6
2009-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),-31
2009-Q2,General Business Expectations (Forecast For Next 6 Months),-2
2009-Q2,Numbers Employed (Forecast For Next Quarter),-9
2009-Q2,Overtime (Forecast For Next Quarter),-13
2009-Q2,Output (Forecast For Next Quarter),-3
2009-Q2,Total New Orders Received (Forecast For Next Quarter),1
2009-Q2,Domestic Orders (Forecast For Next Quarter),-2
2009-Q2,Export Orders (Forecast For Next Quarter),1
2009-Q2,Deliveries In Singapore (Forecast For Next Quarter),-3
2009-Q2,Deliveries Overseas (Forecast For Next Quarter),-3
2009-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-5
2009-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-9
2009-Q2,Average Selling Prices (Forecast For Next Quarter),-22
2009-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2009-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2009-Q3,General Business Expectations (Forecast For Next 6 Months),9
2009-Q3,Numbers Employed (Forecast For Next Quarter),0
2009-Q3,Overtime (Forecast For Next Quarter),-7
2009-Q3,Output (Forecast For Next Quarter),-3
2009-Q3,Total New Orders Received (Forecast For Next Quarter),11
2009-Q3,Domestic Orders (Forecast For Next Quarter),-4
2009-Q3,Export Orders (Forecast For Next Quarter),12
2009-Q3,Deliveries In Singapore (Forecast For Next Quarter),-4
2009-Q3,Deliveries Overseas (Forecast For Next Quarter),9
2009-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-10
2009-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-15
2009-Q3,Average Selling Prices (Forecast For Next Quarter),-21
2009-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2009-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2009-Q4,General Business Expectations (Forecast For Next 6 Months),14
2009-Q4,Numbers Employed (Forecast For Next Quarter),0
2009-Q4,Overtime (Forecast For Next Quarter),-6
2009-Q4,Output (Forecast For Next Quarter),8
2009-Q4,Total New Orders Received (Forecast For Next Quarter),1
2009-Q4,Domestic Orders (Forecast For Next Quarter),-10
2009-Q4,Export Orders (Forecast For Next Quarter),0
2009-Q4,Deliveries In Singapore (Forecast For Next Quarter),-3
2009-Q4,Deliveries Overseas (Forecast For Next Quarter),11
2009-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-4
2011-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),0
2009-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-12
2009-Q4,Average Selling Prices (Forecast For Next Quarter),-16
2009-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2009-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2010-Q1,General Business Expectations (Forecast For Next 6 Months),29
2010-Q1,Numbers Employed (Forecast For Next Quarter),10
2010-Q1,Overtime (Forecast For Next Quarter),10
2010-Q1,Output (Forecast For Next Quarter),30
2010-Q1,Total New Orders Received (Forecast For Next Quarter),27
2010-Q1,Domestic Orders (Forecast For Next Quarter),5
2010-Q1,Export Orders (Forecast For Next Quarter),27
2010-Q1,Deliveries In Singapore (Forecast For Next Quarter),6
2010-Q1,Deliveries Overseas (Forecast For Next Quarter),32
2010-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),4
2010-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),15
2010-Q1,Average Selling Prices (Forecast For Next Quarter),-8
2010-Q1,Investment On Buildings (Forecast - Next 12 Months),7
2010-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),33
2010-Q2,General Business Expectations (Forecast For Next 6 Months),18
2010-Q2,Numbers Employed (Forecast For Next Quarter),7
2010-Q2,Overtime (Forecast For Next Quarter),0
2010-Q2,Output (Forecast For Next Quarter),15
2010-Q2,Total New Orders Received (Forecast For Next Quarter),15
2010-Q2,Domestic Orders (Forecast For Next Quarter),3
2010-Q2,Export Orders (Forecast For Next Quarter),17
2010-Q2,Deliveries In Singapore (Forecast For Next Quarter),4
2010-Q2,Deliveries Overseas (Forecast For Next Quarter),17
2010-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),3
2010-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),7
2010-Q2,Average Selling Prices (Forecast For Next Quarter),-11
2010-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2010-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2010-Q3,General Business Expectations (Forecast For Next 6 Months),3
2010-Q3,Numbers Employed (Forecast For Next Quarter),8
2010-Q3,Overtime (Forecast For Next Quarter),-9
2010-Q3,Output (Forecast For Next Quarter),-1
2010-Q3,Total New Orders Received (Forecast For Next Quarter),-5
2010-Q3,Domestic Orders (Forecast For Next Quarter),-7
2010-Q3,Export Orders (Forecast For Next Quarter),-4
2010-Q3,Deliveries In Singapore (Forecast For Next Quarter),-9
2010-Q3,Deliveries Overseas (Forecast For Next Quarter),-5
2010-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-3
2010-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-10
2010-Q3,Average Selling Prices (Forecast For Next Quarter),-18
2010-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2010-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2010-Q4,General Business Expectations (Forecast For Next 6 Months),20
2010-Q4,Numbers Employed (Forecast For Next Quarter),10
2010-Q4,Overtime (Forecast For Next Quarter),2
2010-Q4,Output (Forecast For Next Quarter),17
2010-Q4,Total New Orders Received (Forecast For Next Quarter),19
2010-Q4,Domestic Orders (Forecast For Next Quarter),3
2010-Q4,Export Orders (Forecast For Next Quarter),18
2010-Q4,Deliveries In Singapore (Forecast For Next Quarter),1
2010-Q4,Deliveries Overseas (Forecast For Next Quarter),16
2010-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-1
2010-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-4
2010-Q4,Average Selling Prices (Forecast For Next Quarter),-5
2010-Q4,Investment On Buildings (Forecast - Next 12 Months),-
